cement,slag,silica_fume,limestone_powder,quartz_powder,fly_ash,nano_silica,aggregate,water,fiber,superplasticizer,temperature,age,compressive_strength
325.3,0,75.7,1058.2,0,0,0,455.4,201.4,0,5.2,23,1,28.51
550,0,0,0,0,0,0,1695,192.5,0,1.1,21,3,32.5
575.6,0,134,772.2,0,0,0,455.7,201.4,0,5.1,23,1,33.49
545.875,0,0,0,0,0,4.125,1685,192.5,0,4.4,21,3,35.3
863,0,216,0,0,0,0,1079,177,0,21.6,23,1,35.68
863.2,0,215.8,0,0,0,0,1079,177,0,21.6,20,1,36.1
545.875,0,0,0,0,0,4.125,1685,192.5,0,4.4,21,3,37.1
541.75,0,0,0,0,0,8.25,1678,192.5,0,6.6,21,3,39.1
541.75,0,0,0,0,0,8.25,1678,192.5,0,6.6,21,3,39.5
550,0,0,0,0,0,0,1695,192.5,0,1.1,21,7,40.9
541.75,0,0,0,0,0,8.25,1748,165,0,8.25,21,3,42.2
857.8,0,215.8,0,0,0,5.4,1079,177,0,21.6,20,1,42.2
858,0,216,0,0,0,5.4,1079,177,0,21.6,23,1,42.39
545.875,0,0,0,0,0,4.125,1685,192.5,0,4.4,21,7,44.9
550,0,0,0,0,0,0,1762,165,0,3.85,21,3,45
545.875,0,0,0,0,0,4.125,1754,165,0,6.6,21,3,45.4
545.875,0,0,0,0,0,4.125,1685,192.5,0,4.4,21,7,45.7
545.875,0,0,0,0,0,4.125,1754,165,0,6.6,21,3,46.4
852.4,0,215.8,0,0,0,10.8,1079,177,0,21.6,20,1,47.7
375,375,144,0,0,200,0,990,182,0,30,20,3,48.1
852,0,216,0,0,0,10.8,1079,177,0,21.6,23,1,48.2
541.75,0,0,0,0,0,8.25,1678,192.5,0,6.6,21,7,49.3
439.5,0,0,263.7,175.9,0,0,1273.4,175.8,0,43.9,21,3,49.61
541.75,0,0,0,0,0,8.25,1748,165,0,8.25,21,7,50.1
435.1,0,0,263.7,175.9,0,4.4,1273.4,175.8,0,43.9,21,3,50.87
541.75,0,0,0,0,0,8.25,1678,192.5,0,6.6,21,7,51.3
541.75,0,0,0,0,0,8.25,1748,165,0,8.25,21,3,51.6
545.875,0,0,0,0,0,4.125,1754,165,0,6.6,21,7,52.5
667.5,0,44.5,0,0,178,0,1231,178,0,30.2,21,1,52.8
450,300,144,0,0,200,0,990,182,0,34,20,3,53
842,0,216,0,0,0,21.6,1079,177,0,21.6,23,1,53.08
756.75,0,50.45,0,0,201.8,0,1231,201.8,0,34.2,21,1,53.1
541.75,0,0,0,0,0,8.25,1812,137.5,0,12.65,21,3,53.1
847,0,215.8,0,0,0,16.2,1079,177,0,21.6,20,1,53.1
841.6,0,215.8,0,0,0,21.6,1079,177,0,21.6,20,1,53.1
847,0,216,0,0,0,16.2,1079,177,0,21.6,23,1,53.38
545.875,0,0,0,0,0,4.125,1685,192.5,0,4.4,21,28,53.4
712,0,0,0,0,178,0,1231,178,0,30.2,21,1,53.7
325.3,0,75.7,1058.2,0,0,0,455.4,201.4,0,5.2,23,3,54.32
545.875,0,0,0,0,0,4.125,1685,192.5,0,4.4,21,28,54.5
430.7,0,0,263.7,175.9,0,8.8,1273.4,175.8,0,43.9,21,3,54.96
680,0,120,0,0,0,0,1421.2,176,0,9.59,23,7,55.32
417.5,0,0,263.7,175.9,0,22,1273.4,175.8,0,43.9,21,3,55.91
545.875,0,0,0,0,0,4.125,1820,137.5,0,9.9,21,3,56.1
696,0,80,0,0,0,24,1359.2,160,0,52,23,1,56.7
426.3,0,0,263.7,175.9,0,13.2,1273.4,175.8,0,43.9,21,3,56.85
421.9,0,0,263.7,175.9,0,17.6,1273.4,175.8,0,43.9,21,3,57.17
550,0,0,0,0,0,0,1762,165,0,3.85,21,7,57.2
640,0,160,0,0,0,0,1446.4,160,0,9.6,23,7,57.4
700,0,50,0,0,150,0,1104,180,0,30,20,1,57.9
545.875,0,0,0,0,0,4.125,1685,192.5,0,4.4,21,90,58.4
680,0,120,0,0,0,0,1468.8,160,0,8.02,23,7,58.83
550,0,0,0,0,0,0,1830,137.5,0,6.6,21,3,58.9
890,0,0,0,0,0,0,1231,178,0,30.2,21,1,59
