cement,slag,silica_fume,limestone_powder,quartz_powder,fly_ash,nano_silica,aggregate,water,fiber,superplasticizer,temperature,age
890.0,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,178.0,0.0,30.2,21,7
700.0,0.0,50.0,0.0,0.0,150.0,0.0,1104.0,180.0,156.0,30.0,20,1
756.5,0.0,133.5,0.0,0.0,0.0,0.0,1231.0,178.0,0.0,30.2,21,56
417.5,0.0,0.0,263.7,175.9,0.0,22.0,1273.4,175.8,195.0,43.9,21,3
796.0,0.0,0.0,0.0,0.0,0.0,4.0,1461.1,160.0,0.0,25.2,23,56
850.0,0.0,150.0,0.0,0.0,0.0,0.0,1224.0,180.0,0.0,11.99,23,28
850.0,0.0,150.0,0.0,0.0,0.0,0.0,1173.0,200.0,0.0,14.03,23,28
675.0,0.0,225.0,0.0,0.0,0.0,0.0,1289.25,180.0,0.0,10.8,23,7
700.0,0.0,50.0,0.0,0.0,150.0,0.0,1104.0,180.0,195.0,30.0,20,28
808.0,0.0,202.0,0.0,0.0,0.0,0.0,1091.0,202.0,234.0,24.0,23,28
900.0,0.0,165.0,0.0,0.0,55.0,0.0,1021.0,163.0,156.0,40.0,23,7
741.0,0.0,185.0,259.0,0.0,0.0,0.0,815.0,185.0,0.0,9.0,30,28
946.0,0.0,71.0,47.0,0.0,166.0,0.0,860.0,166.0,0.0,35.76,23,90
850.0,0.0,150.0,0.0,0.0,0.0,0.0,1173.0,200.0,0.0,11.99,23,28
720.0,0.0,220.0,0.0,0.0,180.0,0.0,998.0,163.0,156.0,40.0,23,7
800.0,0.0,200.0,0.0,200.0,0.0,0.0,880.0,200.0,0.0,9.6,20,7
594.2,0.0,0.0,265.3,0.0,0.0,24.8,1282.3,176.9,156.0,44.2,21,28
745.0,0.0,186.0,0.0,0.0,181.0,0.0,1118.0,171.35,0.0,27.0,20,28
858.0,0.0,216.0,0.0,0.0,0.0,5.4,1079.0,177.0,0.0,21.6,23,28
765.0,0.0,135.0,0.0,0.0,0.0,0.0,1315.8,180.0,0.0,10.79,23,28
712.0,0.0,0.0,0.0,0.0,178.0,0.0,1231.0,178.0,0.0,30.2,21,56
426.3,0.0,0.0,263.7,175.9,0.0,13.2,1273.4,175.8,0.0,43.9,21,7
842.0,0.0,216.0,0.0,0.0,0.0,21.6,1079.0,177.0,0.0,21.6,23,28
545.875,0.0,0.0,0.0,0.0,0.0,4.125,1754.0,165.0,0.0,6.6,21,90
765.0,0.0,135.0,0.0,0.0,0.0,0.0,1315.8,180.0,0.0,10.79,23,7
810.0,0.0,220.0,0.0,0.0,90.0,0.0,1002.0,163.0,156.0,40.0,23,28
720.0,0.0,180.0,0.0,0.0,0.0,0.0,1260.0,198.0,0.0,10.8,23,28
426.3,0.0,0.0,263.7,175.9,0.0,13.2,1273.4,175.8,195.0,43.9,21,3
712.0,0.0,178.0,0.0,0.0,0.0,0.0,1231.0,178.0,0.0,30.2,21,7
741.0,0.0,185.0,259.0,0.0,0.0,0.0,815.0,185.0,0.0,9.0,30,1
931.0,0.0,200.0,0.0,350.0,0.0,19.0,570.0,230.0,234.0,53.0,20,28
776.0,0.0,0.0,0.0,0.0,0.0,24.0,1409.7,160.0,0.0,43.2,23,3
435.1,0.0,0.0,263.7,175.9,0.0,4.4,1273.4,175.8,0.0,43.9,21,3
630.0,180.0,90.0,0.0,0.0,0.0,0.0,1539.0,162.0,0.0,18.0,20,90
